feature,importance
bathrooms,4857.557379797101
surface_m2,2555.737378200516
city,1860.9032244812697
distance_to_valencia_km,1547.9936160948128
has_parking,859.2751101739705
distance_to_coast_km,709.3765227533877
longitude,663.086775874719
latitude,504.8016835078597
feature_count,490.64856723323464
listing_age_days,433.7827432770282
bedrooms,229.17394173890352
conservation_status,217.17915472760797
has_air_conditioning,193.84441823884845
has_heating,93.8248805180192
is_new_construction,34.41475125029683
is_furnished,26.187597025185823
price_dropped,25.930928889662027
has_terrace,24.028733022511005
property_subtype,22.978858403861523
has_storage,19.71839725598693
has_balcony,12.0397112891078
has_elevator,5.728926379233599
region,1.096107006072998
is_coastal,0.854278028011322
floor,0.37000469863414764
