feature,importance
city,4952.209627801174
surface_m2,3852.798198709672
distance_to_valencia_km,1038.4041615643364
bathrooms,999.0124047115096
distance_to_coast_km,666.484955182299
has_elevator,634.8156736833043
feature_count,478.6288767909864
longitude,442.43652763968566
latitude,390.4191530145472
listing_age_days,294.5216863126843
floor,261.9565651511657
has_parking,215.34272132720798
property_subtype,146.81294172551134
bedrooms,139.4454816696816
has_heating,86.09492660511751
has_terrace,67.54343435005285
is_new_construction,53.7692681523622
conservation_status,40.10787166078808
has_air_conditioning,36.349975088844076
region,29.964949988294393
price_dropped,22.861338386661373
is_furnished,22.04650121019222
has_balcony,20.51725697843358
has_storage,12.346197207923979
is_coastal,0.0
